IDH,Departamento,Poblacion Cabecera,Poblacion Resto,Poblacion Total,DepartamentoNorm
0.879,Santander,1587972,502867,2090839,Santander
0.867,Casanare,281548,93701,375249,Casanare
0.865,Valle del Cauca,4169553,586560,4756113,Valle del Cauca
0.849,Antioquia,5262172,1428858,6691030,Antioquia
0.842,Boyaca,742812,539251,1282063,Boyaca
0.839,Risaralda,761658,206109,967767,Risaralda
0.837,Cundinamarca,10070801,914484,10985285,Cundinamarca
0.835,Atlantico,2438533,107391,2545924,Atlantico
0.834,San Andres y Providencia,56487,21926,78413,San Andres y Providencia
0.832,Quindio,506254,68756,575010,Quindio
0.828,Caldas,719730,274136,993866,Caldas
0.823,Bolivar,1693659,477621,2171280,Bolivar
0.822,Meta,775636,241065,1016701,Meta
0.81,Cesar,805262,260411,1065673,Cesar
0.807,Huila,714664,482417,1197081,Huila
0.804,Arauca,172650,98058,270708,Arauca
0.804,Tolima,980694,439253,1419947,Tolima
0.798,Cordoba,950107,838400,1788507,Cordoba
0.796,Norte de Santander,1099363,291876,1391239,Norte de Santander
0.785,Magdalena,967669,331022,1298691,Magdalena
0.782,Cauca,567393,848540,1415933,Cauca
0.775,Sucre,596651,280406,877057,Sucre
0.773,Narino,907590,901526,1809116,Narino
0.759,Putumayo,179323,179573,358896,Putumayo
0.752,Caqueta,300012,196229,496241,Caqueta
0.731,Choco,253058,262087,515145,Choco
0.691,La Guajira,570399,469758,1040157,La Guajira
0.768,Amazonas,29009,49821,78830,Amazonas
0.768,Guainia,13090,30356,43446,Guainia
0.768,Guaviare,69723,46106,115829,Guaviare
0.68,Vaupes,17679,27249,44928,Vaupes
0.768,Vichada,34200,43076,77276,Vichada